source_scenario_id,clarification_budget,success,run_status,valid_for_aggregation,clarification_count,result_source,evidence_path
G2_06,0,False,complete,True,0,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_06/B0/metrics.json
G2_06,1,True,complete,True,1,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_06/B1/metrics.json
G2_06,2,True,complete,True,1,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_06/B2/metrics.json
G2_06,3,True,complete,True,1,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_06/B3/metrics.json
G2_07,0,False,complete,True,0,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_07/B0/metrics.json
G2_07,1,True,complete,True,1,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_07/B1/metrics.json
G2_07,2,True,complete,True,1,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_07/B2/metrics.json
G2_07,3,True,complete,True,1,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_07/B3/metrics.json
G2_08,0,False,complete,True,0,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_08/B0/metrics.json
G2_08,1,True,complete,True,1,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_08/B1/metrics.json
G2_08,2,True,complete,True,2,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_08/B2/metrics.json
G2_08,3,True,complete,True,1,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_08/B3/metrics.json
G2_09,0,False,complete,True,0,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_09/B0/metrics.json
G2_09,1,False,complete,True,0,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_09/B1/metrics.json
G2_09,2,False,complete,True,0,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_09/B2/metrics.json
G2_09,3,False,complete,True,1,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_09/B3/metrics.json
G2_10,0,False,complete,True,0,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_10/B0/metrics.json
G2_10,1,True,complete,True,1,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_10/B1/metrics.json
G2_10,2,True,complete,True,1,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_10/B2/metrics.json
G2_10,3,True,complete,True,1,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/G2_10/B3/metrics.json
T5_G2_11,0,False,complete,True,0,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/T5_G2_11/B0/metrics.json
T5_G2_11,1,False,complete,True,1,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/T5_G2_11/B1/metrics.json
T5_G2_11,2,True,complete,True,1,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/T5_G2_11/B2/metrics.json
T5_G2_11,3,True,complete,True,2,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/T5_G2_11/B3/metrics.json
T5_G2_12,0,False,complete,True,0,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/T5_G2_12/B0/metrics.json
T5_G2_12,1,True,complete,True,1,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/T5_G2_12/B1/metrics.json
T5_G2_12,2,True,complete,True,2,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/T5_G2_12/B2/metrics.json
T5_G2_12,3,True,complete,True,2,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/T5_G2_12/B3/metrics.json
T5_G2_13,0,True,complete,True,0,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/T5_G2_13/B0/metrics.json
T5_G2_13,1,False,complete,True,1,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/T5_G2_13/B1/metrics.json
T5_G2_13,2,True,complete,True,2,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/T5_G2_13/B2/metrics.json
T5_G2_13,3,True,complete,True,2,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/T5_G2_13/B3/metrics.json
T5_G2_14,0,True,complete,True,0,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/T5_G2_14/B0/metrics.json
T5_G2_14,1,True,complete,True,1,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/T5_G2_14/B1/metrics.json
T5_G2_14,2,True,complete,True,2,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/T5_G2_14/B2/metrics.json
T5_G2_14,3,True,complete,True,2,table5_metrics,/Users/rushy/program/virtualhome/evaluation/results/table5/robostate/T5_G2_14/B3/metrics.json
