model_alias,model_id,source_scenario_id,result_source,framework_revision,previous_attempt_path,run_status,success,selected_for_table4,selection_rank,metrics_path
chatgpt,gpt-5.4-mini,table3_full_aggregate,table3_baseline_reuse,table3-legacy,,complete,n/a,True,n/a,
claude,anthropic/claude-haiku-4.5,G2_06,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,1,/Users/rushy/program/virtualhome/evaluation/results/table4/claude/G2_06/metrics.json
claude,anthropic/claude-haiku-4.5,M2_06,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,2,/Users/rushy/program/virtualhome/evaluation/results/table4/claude/M2_06/metrics.json
claude,anthropic/claude-haiku-4.5,M4_18,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,3,/Users/rushy/program/virtualhome/evaluation/results/table4/claude/M4_18/metrics.json
claude,anthropic/claude-haiku-4.5,M4_17,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,4,/Users/rushy/program/virtualhome/evaluation/results/table4/claude/M4_17/metrics.json
claude,anthropic/claude-haiku-4.5,P2_08,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,5,/Users/rushy/program/virtualhome/evaluation/results/table4/claude/P2_08/metrics.json
claude,anthropic/claude-haiku-4.5,M1_01,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,6,/Users/rushy/program/virtualhome/evaluation/results/table4/claude/M1_01/metrics.json
claude,anthropic/claude-haiku-4.5,P2_10,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,7,/Users/rushy/program/virtualhome/evaluation/results/table4/claude/P2_10/metrics.json
claude,anthropic/claude-haiku-4.5,G2_07,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,8,/Users/rushy/program/virtualhome/evaluation/results/table4/claude/G2_07/metrics.json
claude,anthropic/claude-haiku-4.5,P3_13,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,9,/Users/rushy/program/virtualhome/evaluation/results/table4/claude/P3_13/metrics.json
claude,anthropic/claude-haiku-4.5,G3_14,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,10,/Users/rushy/program/virtualhome/evaluation/results/table4/claude/G3_14/metrics.json
claude,anthropic/claude-haiku-4.5,G4_20,post_fix_rerun,table4-interface-fairness-v1,,complete,False,True,11,/Users/rushy/program/virtualhome/evaluation/results/table4/claude/G4_20/metrics.json
claude,anthropic/claude-haiku-4.5,M2_09,post_fix_rerun,table4-interface-fairness-v1,,complete,False,True,12,/Users/rushy/program/virtualhome/evaluation/results/table4/claude/M2_09/metrics.json
claude,anthropic/claude-haiku-4.5,M1_03,post_fix_rerun,table4-interface-fairness-v1,evaluation/results/table4/_attempts/pre_interface_fix/claude/M1_03,complete,True,True,13,/Users/rushy/program/virtualhome/evaluation/results/table4/claude/M1_03/metrics.json
gemini,google/gemini-3.5-flash,G2_06,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,1,/Users/rushy/program/virtualhome/evaluation/results/table4/gemini/G2_06/metrics.json
gemini,google/gemini-3.5-flash,M2_06,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,2,/Users/rushy/program/virtualhome/evaluation/results/table4/gemini/M2_06/metrics.json
gemini,google/gemini-3.5-flash,M4_18,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,3,/Users/rushy/program/virtualhome/evaluation/results/table4/gemini/M4_18/metrics.json
gemini,google/gemini-3.5-flash,M4_17,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,4,/Users/rushy/program/virtualhome/evaluation/results/table4/gemini/M4_17/metrics.json
gemini,google/gemini-3.5-flash,P2_08,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,5,/Users/rushy/program/virtualhome/evaluation/results/table4/gemini/P2_08/metrics.json
gemini,google/gemini-3.5-flash,M1_01,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,6,/Users/rushy/program/virtualhome/evaluation/results/table4/gemini/M1_01/metrics.json
gemini,google/gemini-3.5-flash,P2_10,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,7,/Users/rushy/program/virtualhome/evaluation/results/table4/gemini/P2_10/metrics.json
gemini,google/gemini-3.5-flash,G2_07,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,8,/Users/rushy/program/virtualhome/evaluation/results/table4/gemini/G2_07/metrics.json
gemini,google/gemini-3.5-flash,P3_13,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,9,/Users/rushy/program/virtualhome/evaluation/results/table4/gemini/P3_13/metrics.json
gemini,google/gemini-3.5-flash,G3_14,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,10,/Users/rushy/program/virtualhome/evaluation/results/table4/gemini/G3_14/metrics.json
gemini,google/gemini-3.5-flash,G4_20,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,11,/Users/rushy/program/virtualhome/evaluation/results/table4/gemini/G4_20/metrics.json
gemini,google/gemini-3.5-flash,M2_09,post_fix_rerun,table4-interface-fairness-v1,,complete,False,True,12,/Users/rushy/program/virtualhome/evaluation/results/table4/gemini/M2_09/metrics.json
gemini,google/gemini-3.5-flash,M1_03,post_fix_rerun,table4-interface-fairness-v1,,complete,False,True,13,/Users/rushy/program/virtualhome/evaluation/results/table4/gemini/M1_03/metrics.json
llama,meta-llama/llama-3.1-8b-instruct,G2_06,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,1,/Users/rushy/program/virtualhome/evaluation/results/table4/llama/G2_06/metrics.json
llama,meta-llama/llama-3.1-8b-instruct,M2_06,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,2,/Users/rushy/program/virtualhome/evaluation/results/table4/llama/M2_06/metrics.json
llama,meta-llama/llama-3.1-8b-instruct,M4_18,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,3,/Users/rushy/program/virtualhome/evaluation/results/table4/llama/M4_18/metrics.json
llama,meta-llama/llama-3.1-8b-instruct,M4_17,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,4,/Users/rushy/program/virtualhome/evaluation/results/table4/llama/M4_17/metrics.json
llama,meta-llama/llama-3.1-8b-instruct,P2_08,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,5,/Users/rushy/program/virtualhome/evaluation/results/table4/llama/P2_08/metrics.json
llama,meta-llama/llama-3.1-8b-instruct,M1_01,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,6,/Users/rushy/program/virtualhome/evaluation/results/table4/llama/M1_01/metrics.json
llama,meta-llama/llama-3.1-8b-instruct,P2_10,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,7,/Users/rushy/program/virtualhome/evaluation/results/table4/llama/P2_10/metrics.json
llama,meta-llama/llama-3.1-8b-instruct,G2_07,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,8,/Users/rushy/program/virtualhome/evaluation/results/table4/llama/G2_07/metrics.json
llama,meta-llama/llama-3.1-8b-instruct,P3_13,post_fix_rerun,table4-interface-fairness-v1,,complete,False,True,9,/Users/rushy/program/virtualhome/evaluation/results/table4/llama/P3_13/metrics.json
llama,meta-llama/llama-3.1-8b-instruct,G3_14,post_fix_rerun,table4-interface-fairness-v1,,complete,False,True,10,/Users/rushy/program/virtualhome/evaluation/results/table4/llama/G3_14/metrics.json
llama,meta-llama/llama-3.1-8b-instruct,G4_20,post_fix_rerun,table4-interface-fairness-v1,,complete,False,True,11,/Users/rushy/program/virtualhome/evaluation/results/table4/llama/G4_20/metrics.json
llama,meta-llama/llama-3.1-8b-instruct,M2_09,post_fix_rerun,table4-interface-fairness-v1,,complete,False,True,12,/Users/rushy/program/virtualhome/evaluation/results/table4/llama/M2_09/metrics.json
llama,meta-llama/llama-3.1-8b-instruct,M1_03,post_fix_rerun,table4-interface-fairness-v1,evaluation/results/table4/_attempts/pre_interface_fix/llama/M1_03,complete,False,True,13,/Users/rushy/program/virtualhome/evaluation/results/table4/llama/M1_03/metrics.json
qwen,qwen/qwen3-8b,G2_06,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,1,/Users/rushy/program/virtualhome/evaluation/results/table4/qwen/G2_06/metrics.json
qwen,qwen/qwen3-8b,M2_06,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,2,/Users/rushy/program/virtualhome/evaluation/results/table4/qwen/M2_06/metrics.json
qwen,qwen/qwen3-8b,M4_18,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,3,/Users/rushy/program/virtualhome/evaluation/results/table4/qwen/M4_18/metrics.json
qwen,qwen/qwen3-8b,M4_17,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,4,/Users/rushy/program/virtualhome/evaluation/results/table4/qwen/M4_17/metrics.json
qwen,qwen/qwen3-8b,P2_08,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,5,/Users/rushy/program/virtualhome/evaluation/results/table4/qwen/P2_08/metrics.json
qwen,qwen/qwen3-8b,M1_01,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,6,/Users/rushy/program/virtualhome/evaluation/results/table4/qwen/M1_01/metrics.json
qwen,qwen/qwen3-8b,P2_10,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,7,/Users/rushy/program/virtualhome/evaluation/results/table4/qwen/P2_10/metrics.json
qwen,qwen/qwen3-8b,G2_07,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,8,/Users/rushy/program/virtualhome/evaluation/results/table4/qwen/G2_07/metrics.json
qwen,qwen/qwen3-8b,P3_13,post_fix_rerun,table4-interface-fairness-v1,,complete,True,True,9,/Users/rushy/program/virtualhome/evaluation/results/table4/qwen/P3_13/metrics.json
qwen,qwen/qwen3-8b,G3_14,post_fix_rerun,table4-interface-fairness-v1,,complete,False,True,10,/Users/rushy/program/virtualhome/evaluation/results/table4/qwen/G3_14/metrics.json
qwen,qwen/qwen3-8b,G4_20,post_fix_rerun,table4-interface-fairness-v1,,complete,False,True,11,/Users/rushy/program/virtualhome/evaluation/results/table4/qwen/G4_20/metrics.json
qwen,qwen/qwen3-8b,M2_09,post_fix_rerun,table4-interface-fairness-v1,,complete,False,True,12,/Users/rushy/program/virtualhome/evaluation/results/table4/qwen/M2_09/metrics.json
qwen,qwen/qwen3-8b,M1_03,post_fix_rerun,table4-interface-fairness-v1,,complete,False,True,13,/Users/rushy/program/virtualhome/evaluation/results/table4/qwen/M1_03/metrics.json
