profile,scenario_id,metric,item_id,gold,predicted,verdict,coverage_status,log_path,review_note
full,G1_01,GoalAlign,goal_atom_1,milk is HOT,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G1_01/run_G1_01.md,Final adopted goal matches the gold atom.
full,G1_02,GoalAlign,goal_atom_1,character HOLDS apple,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_G1_02.md,Final adopted goal matches the gold atom.
full,G1_02,GoalAlign,goal_atom_2,apple is CLEAN,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_G1_02.md,Final adopted goal matches the gold atom.
full,G1_03,GoalAlign,goal_atom_1,character HOLDS remotecontrol,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G1_03/run_G1_03.md,Final adopted goal matches the gold atom.
full,G1_04,GoalAlign,goal_atom_1,tablelamp is OFF,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G1_04/run_G1_04.md,Final adopted goal matches the gold atom.
full,G1_05,GoalAlign,goal_atom_1,mug INSIDE kitchencabinet,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G1_05/run_G1_05.md,Final adopted goal matches the gold atom.
full,G1_05,GoalAlign,goal_atom_2,mug is EMPTY,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G1_05/run_G1_05.md,Final adopted goal matches the gold atom.
full,G2_06,GoalAlign,goal_atom_1,tablelamp is ON,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G2_06/run_G2_06.md,Final adopted goal matches the gold atom.
full,G2_07,GoalAlign,goal_atom_1,mug INSIDE kitchencabinet,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G2_07/run_G2_07.md,Final adopted goal matches the gold atom.
full,G2_08,GoalAlign,goal_atom_1,character HOLDS milk,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_G2_08.md,Final adopted goal matches the gold atom.
full,G2_08,GoalAlign,goal_atom_2,milk is HOT,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_G2_08.md,Final adopted goal matches the gold atom.
full,G2_09,GoalAlign,goal_atom_1,book ON desk,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G2_09/run_G2_09.md,Final adopted goal matches the gold atom.
full,G2_10,GoalAlign,goal_atom_1,stove is OFF,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G2_10/run_G2_10.md,Final adopted goal matches the gold atom.
full,G3_11,GoalAlign,goal_atom_1,recognizes broken-fridge trigger as permanently infeasible,Asked about a missing object instead of identifying the broken trigger,incorrect,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G3_11/run_G3_11.md,Asked about a missing object instead of identifying the broken trigger.
full,G3_12,GoalAlign,goal_atom_1,recognizes missing-bowl trigger as permanently infeasible,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G3_12/run_G3_12.md,Final adopted goal matches the gold atom.
full,G3_13,GoalAlign,goal_atom_1,recognizes missing-apple trigger as permanently infeasible,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G3_13/run_G3_13.md,Final adopted goal matches the gold atom.
